elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
1081,session-01,128,131072,222.7790,256,10098998,4833946,5032,5133980
1081,session-02,128,131072,221.6770,256,9862802,4836681,4792,4895049
1081,session-03,128,130389,220.4380,256,9825250,4832924,4759,4861937
1081,session-04,128,130730,220.8492,256,9938572,4835314,4872,4972528
2082,session-01,128,131072,223.0571,256,19356615,9536823,9494,9688720
2082,session-02,128,130388,222.3546,256,19045329,9540925,9177,9374016
2082,session-03,128,130389,221.6823,256,18985241,9534433,9126,9320419
2082,session-04,128,128681,221.7243,256,18762016,9409853,9037,9223482
3083,session-01,128,131072,223.0604,256,28523769,14235601,13875,14157096
3083,session-02,128,129705,222.4352,256,27847608,14116826,13316,13601077
3083,session-03,128,131072,221.9449,256,27762944,14112043,13240,13519829
3083,session-04,128,130389,222.0630,256,27858184,14119901,13335,13607894
4083,session-01,128,130389,226.0660,256,38415240,17502836,20363,20782015
4083,session-02,128,130730,225.5771,256,37913840,17514105,19845,20269005
4083,session-03,128,130389,225.1970,256,37804951,17515131,19737,20159431
4083,session-04,128,130730,225.2875,256,37738043,17385425,19820,20221888
5083,session-01,128,130730,226.3858,256,47908378,21686889,25564,26090759
5083,session-02,128,131072,226.0299,256,47450319,21696794,25095,25622453
5083,session-03,128,130047,225.6629,256,47247911,21699186,24888,25418678
5083,session-04,128,130730,225.7902,256,47538375,21695426,25199,25712219
6085,session-01,128,131072,226.1327,256,56913058,25079048,31066,31702938
6085,session-02,128,130730,226.2929,256,56900443,25113869,31004,31655844
6085,session-03,128,130389,225.6322,256,56575835,25098511,30696,31346935
6085,session-04,128,129706,225.8119,256,56487424,24936031,30792,31421687
7087,session-01,128,131072,227.9902,256,66999431,27821653,38258,39046706
7087,session-02,128,131072,228.0781,256,66868032,27857500,38080,38879460
7087,session-03,128,131072,227.5695,256,66642405,27840092,37874,38671241
7087,session-04,128,130730,227.7052,256,66512012,27680345,37927,38700937
8091,session-01,128,130730,227.7887,256,77242474,32525896,43679,44585848
8091,session-02,128,131072,227.8846,256,77158857,32561401,43555,44466384
8091,session-03,128,131072,227.4272,256,76600782,32415998,43146,44053712
8091,session-04,128,131072,227.5129,256,76676547,32385269,43275,44160206
9095,session-01,128,130389,229.2191,256,87665402,35143235,51320,52391778
9095,session-02,128,130389,229.3489,256,87719000,35174983,51337,52413628
9095,session-03,128,130730,228.9059,256,87312476,35162015,50944,52019731
9095,session-04,128,129706,229.0091,256,87481763,35130606,51168,52221451
10100,session-01,128,130730,229.7219,256,97337049,38410126,57598,58796193
10100,session-02,128,131072,229.8671,256,97494412,38440508,57719,58922832
10100,session-03,128,130730,229.4466,256,97002560,38430957,57239,58440873
10100,session-04,128,130388,229.5363,256,96849287,38269160,57272,58449739
