elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
8,session-01,8.0000,0.0000,130730,true,128,129706
27,session-02,27.0000,0.0000,130047,true,107,107860
28,session-03,28.0000,0.0000,130389,true,23,22869
61,session-04,61.0000,0.0000,130389,true,23,23552
62,session-01,36.0000,26.0000,130730,true,128,130389
79,session-02,19.0000,60.0000,130730,true,128,130730
80,session-03,20.0000,60.0000,131072,true,128,131072
95,session-04,17.0000,78.0000,130047,true,128,130730
96,session-01,18.0000,52.0000,131072,true,128,131072
110,session-02,16.0000,34.0000,131072,true,128,129364
111,session-03,17.0000,34.0000,131072,true,128,131072
124,session-04,14.0000,32.0000,131072,true,128,130730
125,session-01,15.0000,32.0000,131072,true,128,129023
133,session-02,10.0000,29.0000,130389,true,128,131072
139,session-03,15.0000,30.0000,129706,true,128,130388
147,session-04,9.0000,28.0000,130730,true,128,130047
154,session-01,15.0000,29.0000,131072,true,128,130389
162,session-02,16.0000,23.0000,131072,true,128,130389
168,session-03,15.0000,29.0000,130389,true,128,130047
177,session-04,17.0000,22.0000,130047,true,128,131072
185,session-01,17.0000,29.0000,130047,true,128,130047
193,session-02,17.0000,30.0000,129706,true,128,131072
200,session-03,16.0000,31.0000,130047,true,128,131072
208,session-04,17.0000,31.0000,131072,true,128,129705
214,session-01,15.0000,31.0000,130389,true,128,130047
223,session-02,16.0000,31.0000,130389,true,128,131072
230,session-03,15.0000,30.0000,131072,true,128,131072
238,session-04,17.0000,30.0000,129364,true,128,131072
239,session-01,10.0000,30.0000,130388,true,128,131072
247,session-02,9.0000,31.0000,131072,true,128,131072
259,session-03,14.0000,31.0000,130388,true,128,130389
267,session-04,9.0000,37.0000,130730,true,128,130389
274,session-01,16.0000,29.0000,130047,true,128,130389
281,session-02,15.0000,28.0000,131072,true,128,130046
287,session-03,14.0000,28.0000,131072,true,128,131072
295,session-04,15.0000,22.0000,130047,true,128,130047
302,session-01,15.0000,29.0000,131072,true,128,131072
312,session-02,19.0000,27.0000,131072,true,128,131072
317,session-03,16.0000,28.0000,130730,true,128,131072
325,session-04,17.0000,28.0000,130389,true,128,131072
330,session-01,14.0000,29.0000,130389,true,128,131072
336,session-02,13.0000,30.0000,131072,true,128,131072
348,session-03,19.0000,28.0000,131072,true,128,130388
354,session-04,18.0000,28.0000,131072,true,128,131072
360,session-01,19.0000,25.0000,130389,true,128,130730
366,session-02,20.0000,23.0000,130389,true,128,130730
373,session-03,20.0000,24.0000,131072,true,128,131072
382,session-04,23.0000,23.0000,131072,true,128,130389
388,session-01,23.0000,24.0000,130730,true,128,130730
394,session-02,23.0000,25.0000,130389,true,128,130389
401,session-03,20.0000,28.0000,129706,true,128,131072
408,session-04,21.0000,28.0000,131072,true,128,130389
414,session-01,20.0000,29.0000,130730,true,128,130389
420,session-02,20.0000,29.0000,131072,true,128,131072
429,session-03,22.0000,26.0000,130389,true,128,130047
436,session-04,23.0000,26.0000,130730,true,128,131072
443,session-01,24.0000,25.0000,131072,true,128,131072
449,session-02,21.0000,28.0000,130389,true,128,131072
456,session-03,20.0000,29.0000,129706,true,128,131072
462,session-04,20.0000,29.0000,130047,true,128,131072
468,session-01,20.0000,29.0000,130389,true,128,131072
475,session-02,21.0000,26.0000,131072,true,128,130389
482,session-03,21.0000,25.0000,131072,true,128,131072
489,session-04,22.0000,25.0000,130730,true,128,128681
497,session-01,24.0000,25.0000,130389,true,128,131072
503,session-02,22.0000,27.0000,131072,true,128,131072
517,session-03,29.0000,27.0000,131072,true,128,130730
517,session-04,22.0000,28.0000,131072,true,128,131072
530,session-01,27.0000,30.0000,131072,true,128,130389
536,session-02,19.0000,35.0000,130730,true,128,131072
542,session-03,15.0000,39.0000,131072,true,128,130730
547,session-04,19.0000,33.0000,131072,true,128,131072
554,session-01,19.0000,32.0000,131072,true,128,130389
560,session-02,19.0000,25.0000,131072,true,128,131072
566,session-03,19.0000,20.0000,130389,true,128,130389
573,session-04,20.0000,25.0000,131072,true,128,131072
580,session-01,20.0000,25.0000,131072,true,128,131072
587,session-02,21.0000,25.0000,130047,true,128,131072
594,session-03,22.0000,25.0000,129022,true,128,130730
601,session-04,23.0000,25.0000,131072,true,128,130730
608,session-01,23.0000,25.0000,130730,true,128,130730
615,session-02,21.0000,28.0000,130730,true,128,130047
622,session-03,22.0000,28.0000,131072,true,128,131072
629,session-04,23.0000,28.0000,131072,true,128,131072
635,session-01,22.0000,28.0000,131072,true,128,131072
642,session-02,21.0000,27.0000,131072,true,128,131072
650,session-03,22.0000,28.0000,131072,true,128,131072
656,session-04,22.0000,28.0000,130730,true,128,130730
663,session-01,22.0000,28.0000,131072,true,128,131072
670,session-02,21.0000,28.0000,131072,true,128,131072
677,session-03,22.0000,27.0000,130389,true,128,131072
684,session-04,22.0000,28.0000,131072,true,128,131072
691,session-01,23.0000,27.0000,130730,true,128,129706
699,session-02,24.0000,26.0000,130730,true,128,131072
706,session-03,24.0000,27.0000,131072,true,128,130730
713,session-04,24.0000,27.0000,130389,true,128,130730
720,session-01,23.0000,29.0000,131072,true,128,130730
727,session-02,22.0000,30.0000,131072,true,128,131072
734,session-03,23.0000,29.0000,131072,true,128,129022
741,session-04,23.0000,29.0000,131072,true,128,131072
748,session-01,23.0000,28.0000,130389,true,128,130730
754,session-02,21.0000,28.0000,131072,true,128,130730
761,session-03,21.0000,29.0000,129364,true,128,130388
768,session-04,22.0000,28.0000,131072,true,128,129364
775,session-01,23.0000,27.0000,130730,true,128,129705
782,session-02,22.0000,27.0000,130388,true,128,130389
789,session-03,22.0000,27.0000,131072,true,128,131072
797,session-04,24.0000,27.0000,131072,true,128,129363
804,session-01,22.0000,30.0000,130046,true,128,131072
811,session-02,23.0000,28.0000,130389,true,128,131072
818,session-03,24.0000,27.0000,131072,true,128,130730
826,session-04,24.0000,29.0000,129705,true,128,129022
833,session-01,24.0000,27.0000,130047,true,128,130389
839,session-02,23.0000,28.0000,130730,true,128,131072
846,session-03,21.0000,31.0000,130730,true,128,131072
852,session-04,21.0000,29.0000,130389,true,128,130047
859,session-01,21.0000,29.0000,130730,true,128,130388
866,session-02,22.0000,28.0000,130730,true,128,130730
873,session-03,22.0000,26.0000,131072,true,128,131072
880,session-04,23.0000,26.0000,130389,true,128,131072
887,session-01,22.0000,27.0000,130730,true,128,131072
894,session-02,22.0000,28.0000,130730,true,128,130730
901,session-03,23.0000,27.0000,131072,true,128,131072
908,session-04,23.0000,28.0000,131072,true,128,130389
915,session-01,22.0000,28.0000,129706,true,128,130389
921,session-02,22.0000,27.0000,131072,true,128,130389
928,session-03,21.0000,29.0000,130730,true,128,130730
935,session-04,21.0000,29.0000,131072,true,128,129706
942,session-01,22.0000,27.0000,131072,true,128,131072
949,session-02,22.0000,28.0000,130389,true,128,131072
956,session-03,22.0000,27.0000,130730,true,128,130389
964,session-04,23.0000,27.0000,130389,true,128,131072
971,session-01,24.0000,27.0000,130730,true,128,131072
978,session-02,23.0000,28.0000,131072,true,128,130730
985,session-03,24.0000,27.0000,130047,true,128,130388
992,session-04,23.0000,28.0000,131072,true,128,131072
999,session-01,23.0000,29.0000,129706,true,128,130047
1006,session-02,23.0000,28.0000,130047,true,128,130730
1013,session-03,22.0000,30.0000,130047,true,128,131072
1020,session-04,23.0000,28.0000,130730,true,128,131072
1026,session-01,21.0000,29.0000,131072,true,128,130730
1039,session-02,28.0000,28.0000,131072,true,128,131072
1045,session-03,27.0000,27.0000,131072,true,128,131072
1051,session-04,26.0000,28.0000,131072,true,128,130730
1058,session-01,20.0000,33.0000,130389,true,128,131072
1064,session-02,20.0000,33.0000,130389,true,128,131072
1070,session-03,19.0000,33.0000,130730,true,128,130389
1076,session-04,20.0000,31.0000,130047,true,128,130730
1082,session-01,19.0000,25.0000,130730,true,128,131072
1089,session-02,20.0000,25.0000,131072,true,128,131072
1096,session-03,21.0000,24.0000,130730,true,128,130730
1108,session-04,27.0000,25.0000,130389,true,128,131072
1115,session-01,27.0000,25.0000,131072,true,128,129364
1122,session-02,28.0000,25.0000,130047,true,128,131072
1130,session-03,28.0000,27.0000,130730,true,128,131072
1137,session-04,24.0000,32.0000,130389,true,128,130389
1144,session-01,24.0000,32.0000,131072,true,128,130730
1150,session-02,23.0000,33.0000,131072,true,128,131072
1157,session-03,22.0000,33.0000,131072,true,128,130730
1164,session-04,22.0000,29.0000,131072,true,128,131072
1171,session-01,22.0000,29.0000,131072,true,128,131072
1178,session-02,22.0000,29.0000,131072,true,128,130389
1185,session-03,21.0000,29.0000,130730,true,128,130047
1193,session-04,23.0000,28.0000,131072,true,128,131072
1200,session-01,23.0000,28.0000,130047,true,128,130389
1207,session-02,23.0000,28.0000,131072,true,128,131072
1214,session-03,22.0000,28.0000,130389,true,128,131072
1224,session-04,25.0000,29.0000,130389,true,128,131072
1230,session-01,24.0000,29.0000,131072,true,128,131072
