iteration,start_ms,stable_ms,elapsed_ms,status
1,1777107825788,1777107825896,108,ok
2,1777107827401,1777107827509,108,ok
3,1777107829014,1777107829122,108,ok
4,1777107830627,1777107830735,108,ok
5,1777107832240,1777107832348,108,ok
6,1777107833853,1777107833961,108,ok
7,1777107835466,1777107835574,108,ok
8,1777107837079,1777107837187,108,ok
9,1777107838692,1777107838800,108,ok
10,1777107840305,1777107840414,109,ok
