elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,6239,116384,22,4,true
5277,6239,120800,22,4,true
10277,6239,120848,21,4,true
15278,6239,120576,21,4,true
20279,6239,120016,21,4,true
25280,6239,120016,21,4,true
30281,6239,120032,21,4,true
35283,6239,119968,21,4,true
40287,6239,119648,21,4,true
45288,6239,119552,21,4,true
50292,6239,119536,21,4,true
55292,6239,119552,21,4,true
60295,6239,119552,21,4,true
65296,6239,119552,21,4,true
70296,6239,119552,21,4,true
75298,6239,119552,21,4,true
80300,6239,119568,21,4,true
85303,6239,119584,21,4,true
90304,6239,119584,21,4,true
95304,6239,119584,21,4,true
100306,6239,119584,21,4,true
105310,6239,119568,21,4,true
110311,6239,119584,21,4,true
115311,6239,118896,21,4,true
120316,6239,118944,21,4,true
125316,6239,118944,21,4,true
130316,6239,118944,21,4,true
135318,6239,118944,21,4,true
140319,6239,118944,21,4,true
145323,6239,118928,21,4,true
150323,6239,118944,21,4,true
155326,6239,118928,21,4,true
160329,6239,118960,21,4,true
165333,6239,118960,21,4,true
170337,6239,118960,21,4,true
175341,6239,118944,21,4,true
