elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
1029,session-01,128,131072,246.5566,256,35510229,4563960,30129,30815197
1029,session-02,128,131072,246.6879,256,35419102,4535293,30060,30752737
1029,session-03,128,129706,246.9877,256,34286217,4344829,29143,29811682
1029,session-04,128,131072,247.2149,256,34577034,4318886,29446,30127076
2027,session-01,128,131072,246.8266,256,68726000,9144643,58137,59450285
2027,session-02,128,131072,246.8851,256,67634424,8981488,57220,58521864
2027,session-03,128,131072,247.0571,256,67539535,8922096,57200,58486367
2027,session-04,128,131072,247.1758,256,67861075,8898547,57527,58831456
3029,session-01,128,131072,247.1617,256,102837113,13466603,87257,89239438
3029,session-02,128,131072,247.2150,256,102836096,13434520,87273,89270504
3029,session-03,128,131072,247.3301,256,102758956,13375811,87273,89252073
3029,session-04,128,131072,247.4141,256,103157639,13351578,87679,89674989
4030,session-01,128,130730,247.3148,256,137687220,17919634,116965,119636856
4030,session-02,128,131072,247.3474,256,137563316,17883794,116868,119548450
4030,session-03,128,130388,247.4251,256,137344168,17825084,116736,119388696
4030,session-04,128,131072,247.5150,256,137184778,17673879,116731,119379827
5034,session-01,128,131072,247.4831,256,170106320,21839836,144839,148135412
5034,session-02,128,131072,247.5157,256,170096412,21807754,144861,148157586
5034,session-03,128,131072,247.5835,256,169974537,21748016,144824,148095449
5034,session-04,128,131072,247.6406,256,169505915,21596815,144508,147778028
6038,session-01,128,131072,247.4990,256,204165203,26288427,173785,177745704
6038,session-02,128,131072,247.5300,256,204241303,26262152,173897,177848079
6038,session-03,128,131072,247.5882,256,204157319,26197629,173901,177828618
6038,session-04,128,130730,247.6315,256,203592780,26047454,173485,177414596
7038,session-01,128,131072,247.4710,256,237093558,30737357,201655,206225129
7038,session-02,128,130730,247.5021,256,237297661,30709031,201886,206457900
7038,session-03,128,131072,247.5578,256,237361131,30643484,202046,206586575
7038,session-04,128,130389,247.5881,256,236611937,30493992,201440,205987556
8043,session-01,128,130389,247.5770,256,274130227,35185606,233515,238814232
8043,session-02,128,131072,247.6022,256,274288256,35161038,233696,238996146
8043,session-03,128,130389,247.6498,256,274319624,35092416,233836,239096819
8043,session-04,128,131072,247.6808,256,273727797,34944630,233378,238652095
9046,session-01,128,131072,247.5843,256,309453406,39769025,263569,269553309
9046,session-02,128,131072,247.6062,256,309597101,39741384,263736,269724645
9046,session-03,128,130730,247.6497,256,308662144,39542029,263065,268989385
9046,session-04,128,131072,247.6745,256,308984420,39527708,263366,269325640
