elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
1,session-01,0,0,0.0000,0,0,0,0,0
1,session-02,0,0,0.0000,0,0,0,0,0
1,session-03,0,0,0.0000,0,0,0,0,0
1,session-04,0,0,0.0000,0,0,0,0,0
1096,session-01,128,127997,236.5285,256,16951699,4750946,12046,12072756
1096,session-02,128,128340,236.1179,256,16578262,4736935,11696,11712987
1096,session-03,128,129023,235.8532,256,16379284,4749914,11478,11500347
1096,session-04,128,125608,235.6394,256,16187441,4736250,11306,11325583
2096,session-01,128,127998,236.6092,256,32766082,9479341,23097,23158743
2096,session-02,128,130047,236.4617,256,32099807,9353735,22556,22616025
2096,session-03,128,129023,236.2730,256,31823014,9366374,22249,22327617
2096,session-04,128,125949,235.8729,256,31121204,9330166,21617,21665089
3099,session-01,128,126631,236.3528,256,47441794,14085208,33153,33229955
3099,session-02,128,126632,236.1955,256,47083409,14091020,32776,32865757
3099,session-03,128,130047,236.1666,256,46596321,13974627,32420,32491647
3099,session-04,128,126972,235.8580,256,45856315,13947299,31706,31782044
4099,session-01,128,131072,236.9048,256,64006123,18590738,45143,45284313
4099,session-02,128,130730,236.8067,256,63705087,18594850,44816,44979507
4099,session-03,128,130047,236.7632,256,63555220,18605085,44672,44820088
4099,session-04,128,129705,236.5035,256,62679710,18584929,43826,43965076
5105,session-01,128,130047,238.7120,256,81258557,21410788,59499,59717722
5105,session-02,128,129023,238.6425,256,80482405,21294075,58827,59059307
5105,session-03,128,126972,238.6597,256,80562247,21311824,58907,59123451
5105,session-04,128,128681,238.4673,256,79635864,21269124,58024,58238059
6108,session-01,128,127998,239.4342,256,97287659,24626101,72272,72533560
6108,session-02,128,127657,239.3599,256,96387598,24519287,71471,71740654
6108,session-03,128,127314,239.4130,256,96685539,24527811,71779,72030414
6108,session-04,128,129364,239.2250,256,95573499,24493316,70697,70950819
7110,session-01,128,129364,239.9481,256,112247717,27581660,84245,84536693
7110,session-02,128,128681,239.8351,256,110968424,27480305,83080,83359438
7110,session-03,128,129022,239.9239,256,111542146,27476880,83692,83936244
7110,session-04,128,126973,239.7642,256,110432497,27458433,82596,82847091
8114,session-01,128,128340,239.3752,256,126264675,32199827,93616,93936508
8114,session-02,128,126632,239.2407,256,125244445,32219294,92604,92898519
8114,session-03,128,129022,239.3582,256,125581958,32083770,93120,93369166
8114,session-04,128,126972,239.2017,256,124435467,32084794,91951,92223701
9115,session-01,128,129364,239.3171,256,143189426,36695797,105982,106364265
9115,session-02,128,130047,239.1969,256,142180472,36720382,104959,105330043
9115,session-03,128,128339,239.2873,256,142904024,36716615,105727,106059070
9115,session-04,128,129362,239.1501,256,141252702,36587594,104204,104535746
10118,session-01,128,129364,240.1296,256,159967085,39016150,120345,120821571
10118,session-02,128,126973,240.0150,256,158830137,39034930,119201,119668234
10118,session-03,128,129022,240.0990,256,159619217,39034916,120038,120455279
10118,session-04,128,129706,239.9891,256,157981186,38908287,118558,118943193
