elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
5,session-01,5.0000,0.0000,0,true,0,0
5,session-02,5.0000,0.0000,0,true,0,0
6,session-03,6.0000,0.0000,0,true,0,0
6,session-04,5.0000,0.0000,0,true,0,0
11,session-01,1.0000,10.0000,0,true,0,0
11,session-02,1.0000,10.0000,0,true,0,0
11,session-03,1.0000,10.0000,0,true,0,0
12,session-04,1.0000,10.0000,0,true,0,0
16,session-01,1.0000,5.0000,0,true,0,0
16,session-02,1.0000,5.0000,0,true,0,0
17,session-03,1.0000,6.0000,0,true,0,0
17,session-04,1.0000,5.0000,0,true,0,0
21,session-01,0.0000,6.0000,0,true,0,0
23,session-02,2.0000,6.0000,0,true,0,0
23,session-03,2.0000,5.0000,0,true,0,0
23,session-04,2.0000,5.0000,0,true,0,0
28,session-01,1.0000,6.0000,0,true,0,0
28,session-02,1.0000,6.0000,0,true,0,0
29,session-03,2.0000,6.0000,0,true,0,0
29,session-04,2.0000,6.0000,0,true,0,0
33,session-01,1.0000,5.0000,0,true,0,0
34,session-02,1.0000,6.0000,0,true,0,0
35,session-03,2.0000,6.0000,0,true,0,0
35,session-04,1.0000,7.0000,0,true,0,0
39,session-01,1.0000,6.0000,0,true,0,0
40,session-02,2.0000,5.0000,12629,true,0,0
49,session-03,10.0000,6.0000,26624,true,0,0
49,session-04,10.0000,5.0000,83284,true,0,0
72,session-01,25.0000,9.0000,83968,true,0,0
73,session-02,26.0000,9.0000,131072,true,10,10240
87,session-03,16.0000,32.0000,131072,true,128,131072
88,session-04,17.0000,32.0000,131072,true,128,131072
104,session-01,18.0000,39.0000,131072,true,128,129364
105,session-02,19.0000,39.0000,130389,true,128,131072
119,session-03,16.0000,32.0000,130047,true,128,130389
120,session-04,17.0000,32.0000,131072,true,128,130388
134,session-01,15.0000,33.0000,130389,true,128,131072
135,session-02,16.0000,33.0000,130730,true,128,130047
149,session-03,16.0000,30.0000,130730,true,128,130730
150,session-04,16.0000,31.0000,131072,true,128,131072
163,session-01,15.0000,29.0000,131072,true,128,130388
164,session-02,15.0000,30.0000,130047,true,128,130389
172,session-03,10.0000,29.0000,130389,true,128,131072
178,session-04,16.0000,28.0000,131072,true,128,131072
186,session-01,8.0000,30.0000,130047,true,128,131072
199,session-02,21.0000,29.0000,130389,true,128,131072
202,session-03,17.0000,23.0000,131072,true,128,130389
208,session-04,16.0000,30.0000,131072,true,128,131072
215,session-01,17.0000,20.0000,131072,true,128,129023
223,session-02,9.0000,36.0000,131072,true,128,131072
229,session-03,15.0000,29.0000,129364,true,128,131072
236,session-04,16.0000,28.0000,131072,true,128,131072
251,session-01,23.0000,30.0000,130730,true,128,130730
252,session-02,17.0000,21.0000,131072,true,128,130730
264,session-03,23.0000,27.0000,131072,true,128,130730
264,session-04,15.0000,29.0000,131072,true,128,130047
272,session-01,9.0000,35.0000,131072,true,128,131072
278,session-02,15.0000,28.0000,130730,true,128,129706
289,session-03,12.0000,36.0000,130730,true,128,130389
296,session-04,19.0000,28.0000,131072,true,128,131072
304,session-01,20.0000,21.0000,130389,true,128,129023
310,session-02,22.0000,25.0000,131072,true,128,131072
316,session-03,22.0000,17.0000,130389,true,128,131072
323,session-04,20.0000,26.0000,130730,true,128,131072
329,session-01,19.0000,26.0000,131072,true,128,131072
337,session-02,22.0000,27.0000,130730,true,128,131072
343,session-03,22.0000,27.0000,131072,true,128,130389
349,session-04,21.0000,25.0000,131072,true,128,131072
355,session-01,19.0000,26.0000,131072,true,128,130730
362,session-02,20.0000,27.0000,131072,true,128,131072
370,session-03,22.0000,27.0000,131072,true,128,131072
377,session-04,22.0000,27.0000,131072,true,128,131072
384,session-01,23.0000,25.0000,131072,true,128,131072
391,session-02,22.0000,27.0000,131072,true,128,131072
398,session-03,23.0000,27.0000,131072,true,128,131072
406,session-04,24.0000,27.0000,130047,true,128,131072
413,session-01,23.0000,29.0000,131072,true,128,129706
419,session-02,23.0000,27.0000,130047,true,128,131072
426,session-03,23.0000,28.0000,131072,true,128,131072
433,session-04,22.0000,29.0000,131072,true,128,131072
440,session-01,22.0000,28.0000,131072,true,128,131072
449,session-02,25.0000,28.0000,131072,true,128,131072
455,session-03,24.0000,28.0000,131072,true,128,131072
461,session-04,23.0000,27.0000,131072,true,128,131072
468,session-01,20.0000,30.0000,131072,true,128,129023
475,session-02,21.0000,30.0000,131072,true,128,130730
482,session-03,22.0000,29.0000,130047,true,128,130047
489,session-04,23.0000,28.0000,131072,true,128,130047
496,session-01,22.0000,26.0000,129706,true,128,130389
503,session-02,23.0000,26.0000,131072,true,128,130389
509,session-03,22.0000,27.0000,130389,true,128,130047
518,session-04,23.0000,29.0000,131072,true,128,130389
525,session-01,24.0000,27.0000,131072,true,128,129022
531,session-02,24.0000,27.0000,130389,true,128,129706
539,session-03,25.0000,27.0000,131072,true,128,131072
545,session-04,22.0000,28.0000,131072,true,128,131072
552,session-01,22.0000,29.0000,130730,true,128,131072
560,session-02,22.0000,31.0000,129023,true,128,130389
566,session-03,22.0000,30.0000,131072,true,128,130047
573,session-04,23.0000,27.0000,130730,true,128,131072
580,session-01,21.0000,29.0000,130389,true,128,130730
587,session-02,22.0000,27.0000,130730,true,128,130730
594,session-03,23.0000,27.0000,130388,true,128,130389
601,session-04,22.0000,29.0000,131072,true,128,130389
608,session-01,21.0000,28.0000,131072,true,128,131072
615,session-02,23.0000,27.0000,130389,true,128,131072
622,session-03,23.0000,28.0000,130389,true,128,131072
629,session-04,23.0000,27.0000,130730,true,128,131072
636,session-01,22.0000,27.0000,131072,true,128,130730
643,session-02,22.0000,29.0000,130730,true,128,131072
650,session-03,23.0000,28.0000,130389,true,128,130730
657,session-04,23.0000,28.0000,130388,true,128,131072
664,session-01,22.0000,28.0000,130388,true,128,130389
672,session-02,24.0000,27.0000,130730,true,128,131072
677,session-03,22.0000,28.0000,131072,true,128,131072
685,session-04,22.0000,29.0000,130389,true,128,130389
692,session-01,21.0000,29.0000,130730,true,128,131072
699,session-02,22.0000,29.0000,131072,true,128,131072
706,session-03,23.0000,28.0000,131072,true,128,131072
714,session-04,24.0000,27.0000,131072,true,128,130730
720,session-01,23.0000,26.0000,130389,true,128,131072
727,session-02,22.0000,28.0000,130730,true,128,131072
735,session-03,22.0000,30.0000,131072,true,128,130730
742,session-04,22.0000,30.0000,131072,true,128,131072
749,session-01,23.0000,29.0000,130389,true,128,131072
756,session-02,24.0000,27.0000,130730,true,128,130730
765,session-03,24.0000,28.0000,131072,true,128,131072
772,session-04,25.0000,27.0000,129706,true,128,131072
778,session-01,23.0000,29.0000,130389,true,128,131072
784,session-02,20.0000,32.0000,131072,true,128,130389
791,session-03,20.0000,30.0000,131072,true,128,131072
798,session-04,21.0000,30.0000,130047,true,128,131072
805,session-01,22.0000,28.0000,131072,true,128,131072
812,session-02,23.0000,25.0000,131072,true,128,131072
819,session-03,23.0000,25.0000,131072,true,128,131072
826,session-04,22.0000,27.0000,131072,true,128,129706
833,session-01,23.0000,27.0000,131072,true,128,131072
840,session-02,23.0000,28.0000,129706,true,128,131072
850,session-03,26.0000,28.0000,131072,true,128,131072
856,session-04,24.0000,28.0000,130047,true,128,129706
862,session-01,24.0000,28.0000,131072,true,128,129706
869,session-02,20.0000,32.0000,131072,true,128,129364
876,session-03,21.0000,31.0000,131072,true,128,130389
883,session-04,22.0000,29.0000,130047,true,128,130730
889,session-01,21.0000,30.0000,129364,true,128,130389
896,session-02,22.0000,25.0000,131072,true,128,130047
903,session-03,22.0000,26.0000,130389,true,128,129705
910,session-04,22.0000,27.0000,131072,true,128,131072
917,session-01,22.0000,27.0000,131072,true,128,131072
924,session-02,22.0000,28.0000,131072,true,128,130389
931,session-03,22.0000,28.0000,129022,true,128,130730
938,session-04,22.0000,28.0000,131072,true,128,131072
945,session-01,22.0000,28.0000,129706,true,128,131072
952,session-02,22.0000,28.0000,130047,true,128,131072
