elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,46040,116528,22,4,true
5260,46040,120800,22,4,true
10264,46040,120640,21,4,true
15265,46040,120752,21,4,true
20265,46040,120752,21,4,true
25270,46040,120752,21,4,true
30267,46040,120096,21,4,true
35271,46040,120144,21,4,true
40275,46040,120144,21,4,true
45276,46040,120160,21,4,true
50279,46040,119824,21,4,true
55283,46040,119824,21,4,true
60285,46040,119824,21,4,true
65285,46040,119824,21,4,true
70287,46040,119856,21,4,true
75286,46040,119856,21,4,true
80290,46040,119856,21,4,true
85290,46040,119856,21,4,true
90290,46040,119856,21,4,true
95294,46040,119856,21,4,true
100290,46040,119856,21,4,true
105291,46040,119840,21,4,true
110291,46040,119856,21,4,true
115294,46040,119856,21,4,true
120297,46040,119856,21,4,true
125298,46040,119152,21,4,true
130299,46040,119168,21,4,true
135302,46040,119200,21,4,true
140302,46040,119200,21,4,true
145302,46040,119184,21,4,true
150304,46040,119200,21,4,true
155306,46040,119200,21,4,true
160310,46040,119184,21,4,true
165311,46040,119200,21,4,true
170312,46040,119200,21,4,true
175312,46040,119200,21,4,true
