elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
1,session-01,0,0,0.0000,0,0,0,0,0
1013,session-01,128,130389,228.4296,256,22333574,8929537,13095,13273648
2018,session-01,128,130388,228.7155,256,46117465,18663255,26951,27323822
3015,session-01,128,129706,230.6755,256,68781096,26187880,41910,42463510
4019,session-01,128,129705,240.1832,256,149888933,35931494,112308,113827734
5024,session-01,128,129022,243.3124,256,235424708,44799920,188012,190495766
6025,session-01,128,129022,245.1792,256,333322882,54410407,275070,278783453
7027,session-01,128,130388,244.5866,256,370197470,64024321,301956,306042761
8028,session-01,128,129364,244.2067,256,405472938,72584196,328281,332759378
9028,session-01,128,128681,243.6883,256,439349326,82334302,352033,356886343
