elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,60567,116928,22,4,true
1006,60567,118624,22,4,true
2007,60567,118672,22,4,true
3007,60567,118720,22,4,true
4012,60567,118736,22,4,true
5013,60567,118656,22,4,true
6015,60567,118560,22,4,true
7018,60567,118560,22,4,true
8019,60567,118560,22,4,true
9020,60567,118560,22,4,true
