elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
1006,session-01,128,130389,243.9747,256,28483870,4473846,23371,23879635
1006,session-02,128,130730,244.1940,256,28677735,4417184,23614,24129821
1006,session-03,128,131072,243.8025,256,28584901,4460194,23479,23993635
1006,session-04,128,131072,243.6643,256,28608784,4485790,23481,23991922
2007,session-01,128,131072,246.1386,256,63842561,8926194,53575,54785295
2007,session-02,128,131072,246.2451,256,64134730,8868165,53913,55135493
2007,session-03,128,131072,246.0740,256,64033353,8913566,53782,54988715
2007,session-04,128,131072,245.9556,256,62862916,8809457,52745,53922387
3007,session-01,128,131072,246.4402,256,95856181,13377860,80524,82347249
3007,session-02,128,131072,246.5195,256,96232303,13316756,80953,82784475
3007,session-03,128,131072,246.3994,256,96069151,13360790,80759,82577289
3007,session-04,128,130389,246.3312,256,95831921,13387413,80507,82314119
4012,session-01,128,131072,246.7482,256,128197780,17562936,108076,110503772
4012,session-02,128,131072,246.8043,256,128543880,17502177,108472,110910631
4012,session-03,128,130730,246.7371,256,127773821,17417869,107820,110225222
4012,session-04,128,131072,246.6833,256,127496326,17439371,107525,109925883
5013,session-01,128,131072,247.0403,256,162516764,21751431,137527,140634261
5013,session-02,128,131072,247.0861,256,161955256,21561650,137165,140262534
5013,session-03,128,131072,247.0210,256,161892790,21609440,137071,140152278
5013,session-04,128,131072,246.9785,256,161600605,21628549,136768,139840984
6015,session-01,128,131072,247.0255,256,195127354,26330069,164947,168666213
6015,session-02,128,130388,247.0639,256,194576423,26141309,164591,168304726
6015,session-03,128,131072,247.0130,256,194579831,26188417,164567,168260342
6015,session-04,128,131072,246.9783,256,194294463,26204792,164278,167958599
7018,session-01,128,131072,247.1768,256,230039587,30650662,194844,199257853
7018,session-02,128,131072,247.2144,256,230571702,30594681,195420,199845949
7018,session-03,128,131072,247.1729,256,230614020,30641108,195434,199841840
7018,session-04,128,131072,247.1426,256,230293494,30658164,195113,199504258
8019,session-01,128,131072,247.2260,256,264976723,35234082,224526,229611569
8019,session-02,128,131072,247.2592,256,265532729,35174685,225119,230226972
8019,session-03,128,131072,247.2221,256,264582112,35089699,224290,229361341
8019,session-04,128,131072,247.1963,256,264279337,35109828,223986,229038437
9020,session-01,128,131072,247.4487,256,298504819,38766194,253866,259607553
9020,session-02,128,131072,247.4766,256,298038542,38578115,253579,259329355
9020,session-03,128,130730,247.4462,256,298129659,38620442,253652,259378487
9020,session-04,128,131072,247.4231,256,297824159,38642620,253336,259050467
