elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
1005,session-01,0,0,0.7059,3,1628,1628,0,0
2005,session-01,0,0,0.5926,3,2442,2442,0,0
3006,session-01,0,0,0.5405,3,3256,3256,0,0
4007,session-01,0,0,0.5882,3,4884,4884,0,0
5007,session-01,0,0,0.6571,3,7326,7326,0,0
6008,session-01,0,0,0.6353,3,8166,8166,0,0
7009,session-01,0,0,0.6146,3,9768,9768,0,0
8010,session-01,0,0,0.6975,4,13024,13024,0,0
9011,session-01,0,0,0.7464,4,15466,15466,0,0
